"","model_1_f1","model_1_f2","model_1_f3","model_1_f4"
"69",0.862972814540448,0.826872638551643,0.625763294443427,0.859853859707873
"70",0.865870790600396,0.825356700597613,0.626676636251609,0.851477259839751
"71",0.865997735844004,0.829564549866546,0.663703272294829,0.854631374472163
"72",0.863488771792854,0.829891369616161,0.66277680119556,0.862472485828055
"73",0.866178610685496,0.836763122312429,0.678531689298859,0.861908509539401
"74",0.872411557817668,0.838875986605008,0.685012189619429,0.851653327655938
"75",0.876714610689329,0.829596273299088,0.682937403450804,0.859256627688018
"76",0.872344120988613,0.836016111491699,0.651380877770908,0.860927651357701
"77",0.87878820921247,0.825061003424409,0.625189291517713,0.85678998382949
"78",0.865203067718171,0.824081919022626,0.620478933798452,0.86520152669849
"79",0.863474879952679,0.816631528386127,0.666287534743092,0.863607247797002
"80",0.856051899541797,0.82331238467226,0.654958886652619,0.865789589853151
"81",0.861521817018277,0.832389902491422,0.661328593824732,0.8603810256761
"82",0.866107558430797,0.83828390835144,0.642762121078559,0.863672766539258
"83",0.86852338840721,0.827308161117567,0.611077506603517,0.866560851828783
"84",0.866586758574521,0.827414290723328,0.623720589167709,0.862878299135391
"85",0.874794610603654,0.836943519189026,0.640372512077519,0.858598457698475
"86",0.871199915538766,0.840690338509134,0.639338541873787,0.86188476172668
"87",0.876568583321768,0.833146397877216,0.667429584506277,0.867877349934547
"88",0.86569230513027,0.831316114751757,0.668237279734858,0.857665208037732
"89",0.865295012639425,0.817719557387494,0.628669733831583,0.858413044402508
"90",0.868632860014974,0.816642554015644,0.627434554083591,0.867816035183294
"91",0.862905182174603,0.82418507731143,0.620144511387355,0.861244433735515
"92",0.868698555045205,0.826554021494772,0.649534379466008,0.860689861850712
"93",0.863322022478955,0.827210798083575,0.648234212437416,0.855872514491057
"94",0.86766058773689,0.813688814743485,0.677241993993864,0.868420391792871
"95",0.857708445114125,0.821779994968981,0.671132567472725,0.856195290199481
"96",0.863834402119862,0.815916240100577,0.65759109790555,0.853920293517324
"97",0.875819202566036,0.822116643330073,0.675198436674821,0.85559374013749
"98",0.879012326087515,0.8196421783751,0.668201946277283,0.86069567740459
"99",0.874521033191075,0.818806202422443,0.688631355476844,0.859763808888788
"100",0.879396672108836,0.816699278482895,0.679417989464568,0.862765730203293
"101",0.875442392317513,0.817275059596537,0.683796438422085,0.86046163077181
"102",0.865621445729175,0.828403882775847,0.702770892985536,0.853393224016748
"103",0.8697968171229,0.81769670255255,0.663978634262666,0.848212835189323
"104",0.868038064669909,0.831248826889894,0.677204287214279,0.853395256594118
"105",0.86150918585537,0.823477830952055,0.649344994738918,0.856607795495422
"106",0.866077442483664,0.814155852807242,0.679904780388817,0.862293773749352
"107",0.859651479256356,0.810296729767699,0.660319682220051,0.861897447386593
"108",0.859296617445158,0.819810729981148,0.6781809945567,0.863422494823465
"109",0.856930861999517,0.820632215484939,0.660141768641005,0.867395249885166
"110",0.863095923676441,0.811329480991237,0.64495717863647,0.861736287641093
"111",0.867646546885388,0.825942061673669,0.659439638612381,0.858184578924818
"112",0.8649767458281,0.828316833646947,0.661352787093368,0.860097059496539
"113",0.865251352283145,0.825824444270898,0.682828520221709,0.859635401121615
"114",0.870100263002964,0.821461404284936,0.67197582008913,0.86271389624835
"115",0.881090881943683,0.818462670853816,0.667856961434483,0.86994848912894
"116",0.875655608868878,0.828838061618313,0.693975609588467,0.876901655114104
"117",0.886755965078816,0.839918318650906,0.713356100394666,0.871319458708648
"118",0.885985251922035,0.838408086829658,0.731798509424535,0.858418313339481
"119",0.87847666796983,0.8374310996041,0.696295307353021,0.857665810792869
"120",0.879703639386619,0.832595259218183,0.685822542571097,0.854460776573715
"121",0.880029888219077,0.829169279725343,0.703975408961153,0.872913631622694
"122",0.87580269939005,0.829177775117396,0.70108174453918,0.872684542234436
"123",0.880904964228063,0.834432934153091,0.689716916099221,0.864645967927797
"124",0.873138439119269,0.824858049364124,0.662615014994727,0.850939753012147
"125",0.862662316346388,0.822195857084435,0.666649883694778,0.848350048831632
"126",0.866533128603872,0.829986238709515,0.671484720925436,0.860645635367764
"127",0.866847367464588,0.829046089133456,0.667040012104176,0.850099018114847
"128",0.864643498270484,0.831285049166701,0.65325313533524,0.859365133165165
"129",0.864143952223477,0.832666722982086,0.642718688149541,0.862002196114847
"130",0.863350095655205,0.830406816556979,0.665304183260991,0.874230651306884
"131",0.860370516091378,0.829455051748178,0.629192622997562,0.872258998985445
"132",0.856342035708066,0.830668200347259,0.611127401623317,0.866126129463244
"133",0.857019759942979,0.827638424024752,0.61732262690317,0.866443623117817
"134",0.852602488321523,0.837067749420976,0.632516318765388,0.857012392468297
"135",0.850510338519502,0.827486520496566,0.601896085776152,0.851383141350926
"136",0.850317515364333,0.82085308079773,0.616687855260064,0.844744398687479
"137",0.848205297462914,0.818085528737836,0.650422036843217,0.84973628359654
"138",0.847782751868151,0.809139023284868,0.645329828777879,0.843275886114073
"139",0.862734315524663,0.815644613940325,0.635167042177225,0.842815307522817
"140",0.862125247289541,0.812697960005346,0.638307360030348,0.852579058518649
